datetime,Change_NQ,Change_ES,Change_YM,SMT_NQ_ES,SMT_NQ_YM,RS,FVG_Bullish,FVG_Bearish,Sweep_High,Sweep_Low,Bullish_Setup,Bearish_Setup,Target
2024-01-03 10:05:00,-7.48185649799974e-05,-0.00012721837033268085,-2.656606981560731e-05,0,0,2,0,0,0,0,0,0,0
2024-01-03 10:25:00,0.00022450048641779998,0.0,0.00010630946685807809,1,0,0,1,0,0,0,0,0,0
2024-01-03 10:40:00,0.0004984423676012178,0.00010596812478808785,5.312084993355062e-05,0,0,0,0,0,0,0,0,0,0
2024-01-03 10:45:00,-0.00039860488290973636,-0.0003178639542275424,0.0,0,1,2,1,0,0,0,0,0,0
2024-01-03 11:25:00,-0.0004239930165856489,-0.000169689256548911,-0.00010632359586391542,0,0,2,0,0,0,1,0,0,0
2024-01-03 11:40:00,-0.00014970806926479724,8.489324674226509e-05,0.0002925454110263388,1,1,2,0,1,0,0,0,0,0
2024-01-03 12:05:00,0.0,-4.2455633862574956e-05,0.0,1,0,0,0,0,0,1,0,0,0
2024-01-03 12:10:00,-4.993508439024721e-05,-0.00023351590030996824,0.0,0,1,2,0,1,0,0,0,0,0
2024-01-03 12:20:00,-0.0005494917201589213,-0.0002123367661109797,-0.00013296104241460277,0,0,2,0,0,0,0,0,0,0
2024-01-03 12:30:00,-4.998750312431555e-05,-6.371591198702897e-05,0.0,0,1,2,0,1,0,0,0,0,0
2024-01-03 12:35:00,-0.00030000750018751606,-0.0002336398971984742,-0.00026599989360010304,0,0,1,0,0,0,0,0,0,1
2024-01-03 12:40:00,0.0,-0.00010410027618435983,-7.981907675942412e-05,1,1,0,0,0,0,0,0,0,1
2024-01-03 12:50:00,0.00010001500225038872,0.00012745618693574566,0.0,0,1,1,0,0,0,0,0,0,1
2024-01-03 13:00:00,-0.0023452508669943306,-0.0006157243253572697,0.00020826035576617313,0,1,2,0,0,1,1,0,0,1
2024-01-03 13:05:00,0.0001500412613468761,6.373621704312723e-05,-7.977450406857831e-05,0,1,0,0,0,0,0,0,0,1
2024-01-03 13:10:00,0.0002250450090017378,0.0001911964649897497,0.0,0,1,0,0,0,0,0,0,0,1
2024-01-03 13:15:00,0.0010248975102488955,0.000552216298876433,0.0002392789726956952,0,0,0,0,0,0,0,0,0,0
2024-01-03 13:25:00,0.00047445437746590854,0.00023355060617001133,2.658231212948485e-05,0,0,0,0,0,0,0,0,0,0
2024-01-03 13:30:00,-0.0002495944090851514,-3.927479619568886e-05,0.0,0,1,2,0,0,0,0,0,0,0
2024-01-03 13:35:00,0.0005991761328173988,0.00027594404703783714,-0.0001063292485180905,0,1,0,0,0,0,0,0,0,0
2024-01-03 13:45:00,-0.0003245132301547565,-0.00023352581521742026,0.0,0,1,2,0,0,0,0,0,0,0
2024-01-03 13:55:00,-0.0009738314023173272,-0.0005733701422807004,-0.00010643676325808378,0,0,2,0,0,0,0,0,0,0
2024-01-03 14:00:00,-0.0003748687959213707,-0.00025495028469449426,-0.0001330565756558479,0,0,2,0,0,0,0,0,0,0
2024-01-03 14:05:00,-0.0002990224266821214,-0.0002337640258415795,-5.324388360882201e-05,0,0,2,0,0,0,0,0,0,1
2024-01-03 14:10:00,-0.00032264599731383225,-0.00019133059801436042,-0.00015976567700706236,0,0,2,0,1,0,0,0,0,1
2024-01-03 14:15:00,0.0009256942707030387,0.00036145602993709796,7.987858455156045e-05,0,0,0,0,0,0,0,0,0,1
2024-01-03 14:20:00,-0.0005749712514373315,-0.0004250797024441841,-0.00031949732420977054,0,0,2,0,0,0,0,0,0,1
